target,prediction,wer,cer
ужели он не поймет этого никогда и не воротится ни сюда к этой вечной правде,ужели он не поймет этого никогда и не воротится ни сюда к этой вечной правде,0.0,0.0
думаю что шутите вы добрая не то что он поглядел на мать,думаю что шутите вы добрая не то что он поглядел на мать,0.0,0.0
не раскайтесь после если я приму,не раскайтесь после если я приму,0.0,0.0
но ведь вс# дело в воспитании зачем наматывать им старые понятия воспитывать по птичьи,но ведь вс# дело в воспитании зачем наматывать им старые понятия воспитывать по птичьи,0.0,0.0
я с марфинькой хочу поехать на сенокос сегодня сказала бабушка райскому твоя милость хозяин не удостоишь ли взглянуть на свои луга,я с марфинькой хочу поехать на сенокос сегодня сказала бабушка райскому твоя милость хозяин не удостоишь ли взглянуть на свои луга,0.0,0.0
я и клеопатра и какая то постумия и лавиния и корнелия еще матрона,я и клеопатра и какая то постумия и лавиния и корнелия еще матрона,0.0,0.0
женщины продолжал пахотин теперь только и находят развлечение с людьми наших лет,женщины продолжал пахотин теперь только и находят развлечение с людьми наших лет,0.0,0.0
она сидит неподвижно на лице только нетерпение чтоб он ушел,она сидит неподвижно на лице только нетерпение чтоб он ушел,0.0,0.0
спросила она отряхивая задумчивость а что,спросила она отряхивая задумчивость а что,0.0,0.0
торопливо и шепотом спрашивал викентьев,торопливо и шепотом спрашивал викентьев,0.0,0.0
вот я до логики то и добираюсь сказал марк только боюсь не две ли логики у нас и не две ли честности прибавил райский,вот я до логики то и добираюсь сказал марк только боюсь не две ли логики у нас и не две ли честности прибавил райский,0.0,0.0
а видишь ли знаешь ли ты как я тебя люблю,а видишь ли знаешь ли ты как я тебя люблю,0.0,0.0
так я понимаю счастье и так желаю его,так я понимаю счастье и так желаю его,0.0,0.0
он широкой зевотой отвечал на ее лепет ласки брал шляпу и исчезал по неделям по месяцам или в студию художника или на те обеды и ужины где охватывал его чад и шум,он широкой зевотой отвечал на ее лепет ласки брал шляпу и исчезал по неделям по месяцам или в студию художника или на те обеды и ужины где охватывал его чад и шум,0.0,0.0
она теперь только поняла эту усилившуюся к ней после признания нежность и ласки бабушки,она теперь только поняла эту усилившуюся к ней после признания нежность и ласки бабушки,0.0,0.0
посмотри с тебя течет лужа на полу борюшка ведь ты уходишь себя,посмотри с тебя течет лужа на полу борюшка ведь ты уходишь себя,0.0,0.0
да и не поймет вас не поверит теперь вам подумает что вы в горячке хотите не выпустить ее из рук а потом одумаетесь дайте ей покой,да и не поймет вас не поверит теперь вам подумает что вы в горячке хотите не выпустить ее из рук а потом одумаетесь дайте ей покой,0.0,0.0
а он не слушается и еще осуждает ее,а он не слушается и еще осуждает ее,0.0,0.0
она прожила бы до старости не упрекнув ни жизнь ни друга ни его непостоянную любовь и никого ни в чем как не упрекает теперь никого и ничто за свою смерть,она прожила бы до старости не упрекнув ни жизнь ни друга ни его не постоянную любовь и никого ни в чем как не упрекает теперь ни жизнь ни жизнь не упрекает те,30.0,15.58
оба молчали не зная что сталось с беседкой а с ней сталось вот что,оба молчали не зная что сталось с беседкой а с ней сталось вот что,0.0,0.0
сказал он обратясь к дверям где толпились чиновники,сказал он обратясь к дверям где толпились чиновники,0.0,0.0
не тот ли кто первый вызвал в ней сознание о чувстве,не тот ли кто первый вызвал в ней сознание о чувстве,0.0,0.0
вдруг понизив тон перешедший в робость сказал он я взялся не за свое дело,вдруг понизив тон перешедший в робость сказал он я взялся не за свое дело,0.0,0.0
строго заметил райский вот губы кончу,строго заметил райский вот губы кончу,0.0,0.0
когда ты одолеешь мучительную и опасную страсть,когда ты одолеешь мучительную и опасную страсть,0.0,0.0
пусть бы пришли сюда знатоки и толкователи так называемых тайн сердца и страстей и выложили бы тут свои понятия и философию добытую с досок михайловского театра,пусть бы пришли сюда знатоки и толкователи так называемых тайн сердца и страстей и выложили бы тут свои понятия и философию добытую с досок михайловского театра,0.0,0.0
а наутро глаза у всех красные,а наутро глаза у всех красные,0.0,0.0
мне самой гадко и стыдно что я так слаба,мне самой гадко и стыдно что я так слаба,0.0,0.0
на марфиньку и на викентьева точно живой водой брызнули,на марфиньку и на викентьева точно живой водой брызнули,0.0,0.0
вы должно быть боитесь успенского поста или бережете ласки для,вы должно быть боитесь успенского поста или бережете ласки для,0.0,0.0
вы рассуждаете а не любите вера,вы рассуждаете а не любите вера,0.0,0.0
вы что тут делали гуляли что ли спросил он,вы что тут делали гуляли что ли спросил он,0.0,0.0
ты знаешь нет ничего тайного что не вышло бы наружу,ты знаешь нет ничего тайного что не вышло бы наружу,0.0,0.0
в нем поселилось с верой грустное молчание,в нем поселилось с верой грустное молчание,0.0,0.0
она замолчала и утонула в задумчивости как убитая,она замолчала и утонула в задумчивости как убитая,0.0,0.0
как можно спросить прогневаются,как можно спросить прогневаются,0.0,0.0
две недели здесь ты видела его на бале у княгини,две недели здесь ты видела его на бале у княгини,0.0,0.0
пустите меня ради бога я на свежий воздух хочу,пустите меня ради бога я на свежий воздух хочу,0.0,0.0
наконец он взял кружку молока и решительно подступил к ней взяв ее за руку,наконец он взял кружку молока и решительно подступил к ней взяв ее за руку,0.0,0.0
начал иван петрович с новым одушевлением помолчав пишут страна бедная есть нечего картофель один и тот часто не годится для пищи ну с так что же,начал иван петрович с новым одушевлением помолчав пишут страна бедная есть нечего картофель один и тот часто не годится для пищи ну с так что же,0.0,0.0
глядя на нее заплакал и викентьев не от горя а потому объяснял он что не может не заплакать когда плачут другие и не смеяться тоже не может когда смеются около него,глядя на нее заплакал и викентьев не от горя а потому объяснял он что не может не заплакать когда плачут другие и не смеяться тоже не может когда смеются около него,0.0,0.0
наконец бросилась к свечке схватила ее и осветила шкаф,наконец бросилась к свечке схватила ее и осветила шкаф,0.0,0.0
я бы могла и за полевыми работами смотреть да бабушка не пускает что же еще,я бы могла и за полевыми работами смотреть да бабушка не пускает что же еще,0.0,0.0
нельзя откладывать до другого раза,нельзя откладывать до другого раза,0.0,0.0
вера и в сумерки увидела как он был бледен а я думал,вера и в сумерки увидела как он был бледен а я думал,0.0,0.0
леонтий принадлежал еще к этой породе с немногими смягчениями какие сделало время,леонтий принадлежал еще к этой породе с немногими смягчениями какие сделало время,0.0,0.0
он обедать придет прибавила татьяна марковна,он обедать придет прибавила татьяна марковна,0.0,0.0
он смущался уходил и сам не знал что с ним делается,он смущался уходил и сам не знал что с ним делается,0.0,0.0
